Year,Payment,Waitlist_Additions,Waitlist_Removals,Transplants
2020,All Payment,59820,65039,43554
2019,All Payment,66460,66958,44282
2018,All Payment,63283,64388,40594
2017,All Payment,59363,62850,38613
2016,All Payment,58521,61582,37197
2015,All Payment,57234,59117,34144
2014,All Payment,58469,55580,32214
2013,All Payment,58319,53303,31335
2012,All Payment,56002,51730,30310
2011,All Payment,54805,51633,30786
2010,All Payment,56120,50329,30583
2009,All Payment,54551,49129,30137
2008,All Payment,53095,48851,29423
2007,All Payment,52448,47721,29451
2006,All Payment,51198,46482,29611
2005,All Payment,48519,44750,28497
2004,All Payment,46310,41363,27060
2003,All Payment,42187,38769,24822
2002,All Payment,40756,39195,24239
2001,All Payment,41181,36598,23370
2000,All Payment,41412,35412,22383
1999,All Payment,40409,33325,21006
1998,All Payment,37020,30352,20267
1997,All Payment,34377,28331,19262
1996,All Payment,37119,27186,18662
1995,All Payment,31947,26316,18278
2020,Donation,9,7,3
2020,Free Care,28,28,20
2020,Medicaid,7806,7898,4140
2020,Medicare,23343,26062,18210
2020,Other Gov't Insurance,790,795,389
2020,Private insurance,26776,29035,14662
2020,Self,67,86,45
2020,Unknown,54,43,871
2020,VA Public Insurance,947,1085,496
2019,Donation,3,7,3
2019,Free Care,18,20,15
2019,Medicaid,8028,7843,4085
2019,Medicare,26772,26710,18611
2019,Other Gov't Insurance,955,894,476
2019,Private insurance,29432,30289,14799
2019,Self,113,117,99
2019,Unknown,41,41,890
2019,VA Public Insurance,1098,1037,514
2018,Donation,6,5,2
2018,Free Care,21,26,13
2018,Medicaid,7996,7602,3951
2018,Medicare,25324,25767,17231
2018,Other Gov't Insurance,929,767,442
2018,Private insurance,27850,29077,13346
2018,Self,92,121,67
2018,Unknown,37,40,847
2018,VA Public Insurance,1028,983,454
2017,Donation,5,7,5
2017,Free Care,18,27,14
2017,Medicaid,7385,7348,3691
2017,Medicare,23241,25210,16213
2017,Other Gov't Insurance,673,632,318
2017,Private insurance,26912,28539,13022
2017,Self,91,106,52
2017,Unknown,38,43,796
2017,VA Public Insurance,1000,938,473
2016,Donation,4,6,4
2016,Free Care,25,33,17
2016,Medicaid,7223,6892,3441
2016,Medicare,22394,25153,15800
2016,Other Gov't Insurance,623,632,346
2016,Private insurance,27071,27798,12482
2016,Self,91,115,70
2016,Unknown,24,33,809
2016,VA Public Insurance,1066,920,428
2015,Donation,7,10,3
2015,Free Care,20,40,17
2015,Medicaid,6900,6370,3184
2015,Medicare,21621,24629,14289
2015,Other Gov't Insurance,649,595,303
2015,Private insurance,27037,26495,11813
2015,Self,116,167,72
2015,Unknown,26,31,722
2015,VA Public Insurance,858,780,360
2014,Donation,5,5,3
2014,Free Care,27,46,11
2014,Medicaid,6672,5823,2657
2014,Medicare,22816,22054,13447
2014,Other Gov't Insurance,547,549,235
2014,Private insurance,27312,26113,11820
2014,Self,135,148,67
2014,Unknown,40,64,713
2014,VA Public Insurance,915,778,375
2013,Donation,6,6,4
2013,Free Care,59,58,37
2013,Medicaid,6175,5661,2477
2013,Medicare,23647,20593,13109
2013,Other Gov't Insurance,571,618,270
2013,Private insurance,26790,25371,11720
2013,Self,144,166,75
2013,Unknown,51,84,763
2013,VA Public Insurance,876,746,361
2012,Donation,6,3,3
2012,Free Care,51,62,34
2012,Medicaid,5621,5427,2288
2012,Medicare,22757,19920,12431
2012,Other Gov't Insurance,580,511,252
2012,Private insurance,26111,24902,11670
2012,Self,141,186,75
2012,Unknown,53,82,807
2012,VA Public Insurance,682,637,357
2011,Donation,9,8,4
2011,Free Care,50,52,37
2011,Medicaid,5674,5573,2453
2011,Medicare,21368,19664,12505
2011,Other Gov't Insurance,578,448,232
2011,Private insurance,26169,24993,11975
2011,Self,125,184,72
2011,Unknown,75,138,804
2011,VA Public Insurance,757,573,324
2010,Donation,1,5,2
2010,Free Care,63,74,22
2010,Medicaid,5792,5470,2547
2010,Medicare,21662,18496,12119
2010,Other Gov't Insurance,510,409,220
2010,Private insurance,27169,25005,12363
2010,Self,175,212,93
2010,Unknown,67,126,831
2010,VA Public Insurance,681,532,308
2009,Donation,8,11,13
2009,Free Care,67,64,40
2009,Medicaid,5752,5367,2539
2009,Medicare,20503,17723,11612
2009,Other Gov't Insurance,491,426,235
2009,Private insurance,26783,24585,12592
2009,Self,204,251,102
2009,Unknown,58,147,852
2009,VA Public Insurance,685,555,336
2008,Donation,14,14,6
2008,Free Care,45,80,33
2008,Medicaid,5635,5404,2586
2008,Medicare,19978,17360,11048
2008,Other Gov't Insurance,507,381,219
2008,Private insurance,26014,24655,12708
2008,Self,236,262,95
2008,Unknown,70,211,838
2008,VA Public Insurance,596,484,279
2007,Donation,11,14,6
2007,Free Care,81,107,41
2007,Medicaid,5506,5224,2662
2007,Medicare,19078,16642,11089
2007,Other Gov't Insurance,506,382,215
2007,Private insurance,26369,24391,12922
2007,Self,262,285,133
2007,Unknown,89,218,864
2007,VA Public Insurance,546,458,293
2006,Donation,12,9,3
2006,Free Care,95,69,44
2006,Medicaid,5669,5180,2749
2006,Medicare,18156,15948,11007
2006,Other Gov't Insurance,421,360,221
2006,Private insurance,25965,23828,13384
2006,Self,234,286,146
2006,Unknown,79,344,925
2006,VA Public Insurance,567,458,332
2005,Donation,6,10,12
2005,Free Care,90,93,65
2005,Medicaid,5470,4969,2627
2005,Medicare,17011,15236,10716
2005,Other Gov't Insurance,540,333,310
2005,Private insurance,24457,23137,12988
2005,Self,249,266,103
2005,Unknown,182,273,901
2005,VA Public Insurance,514,433,294
2004,Donation,17,13,8
2004,Free Care,97,99,57
2004,Medicaid,5209,4405,2442
2004,Medicare,16046,14292,10315
2004,Other Gov't Insurance,360,111,222
2004,Private insurance,23626,21549,12639
2004,Self,418,244,102
2004,Unknown,95,346,883
2004,VA Public Insurance,442,304,209
2003,Donation,6,8,8
2003,Free Care,71,75,37
2003,Medicaid,4458,4058,2187
2003,Medicare,14995,13117,9291
2003,Other Gov't Insurance,20,9,10
2003,Private insurance,22078,20710,12391
2003,Self,212,207,103
2003,Unknown,22,334,821
2003,VA Public Insurance,325,251,186
2002,Donation,7,13,7
2002,Free Care,78,102,38
2002,Medicaid,4258,4265,2106
2002,Medicare,14265,12775,9392
2002,Other Gov't Insurance,9,5,4
2002,Private insurance,21615,20926,12633
2002,Self,213,267,113
2002,Unknown,34,630,12
2002,VA Public Insurance,277,212,160
2001,Donation,10,11,9
2001,Free Care,110,79,47
2001,Medicaid,4402,3741,2053
2001,Medicare,13704,12034,9025
2001,Other Gov't Insurance,10,4,2
2001,Private insurance,22400,19623,12256
2001,Self,262,302,171
2001,Unknown,30,614,9
2001,VA Public Insurance,253,190,148
2000,Donation,8,15,7
2000,Free Care,75,88,57
2000,Medicaid,4278,3440,1835
2000,Medicare,14069,11660,8372
2000,Other Gov't Insurance,3,3,1
2000,Private insurance,22405,18850,12183
2000,Self,274,292,160
2000,Unknown,45,919,3
2000,VA Public Insurance,255,145,140
1999,Donation,34,16,18
1999,Free Care,87,90,45
1999,Medicaid,3960,3244,1798
1999,Medicare,13204,10775,7942
1999,Other Gov't Insurance,1,0,0
1999,Private insurance,22374,17312,11360
1999,Self,367,337,177
1999,Unknown,209,1439,85
1999,VA Public Insurance,173,112,116
1998,Donation,13,15,10
1998,Free Care,111,86,57
1998,Medicaid,3949,2978,1780
1998,Medicare,12192,9665,8054
1998,Other Gov't Insurance,2,0,0
1998,Private insurance,19984,15351,10747
1998,Self,400,314,171
1998,Unknown,220,1866,192
1998,VA Public Insurance,149,77,76
1997,Donation,17,18,14
1997,Free Care,128,119,56
1997,Medicaid,3638,2654,1758
1997,Medicare,11869,8702,8150
1997,Other Gov't Insurance,2,2,0
1997,Private insurance,18034,13630,9503
1997,Self,396,343,181
1997,Unknown,207,2816,208
1997,VA Public Insurance,86,47,56
1996,Donation,23,18,17
1996,Free Care,125,123,62
1996,Medicaid,3652,2555,1869
1996,Medicare,11803,7680,7857
1996,Other Gov't Insurance,3,0,1
1996,Private insurance,20780,11969,8854
1996,Self,395,299,199
1996,Unknown,311,4523,396
1996,VA Public Insurance,27,19,32
1995,Donation,22,21,18
1995,Free Care,160,118,76
1995,Medicaid,3504,2113,1737
1995,Medicare,11681,5902,7783
1995,Other Gov't Insurance,0,0,0
1995,Private insurance,16030,10176,8532
1995,Self,387,283,175
1995,Unknown,130,7678,497
1995,VA Public Insurance,33,25,34
